,검색날짜,검색결과1,검색결과2,검색결과3,검색결과4
0,2023-01-01,22.73972,7.9452,0.82191,17.53424
1,2023-01-02,37.26027,11.23287,4.38356,19.17808
2,2023-01-03,30.41095,12.32876,4.10958,19.72602
3,2023-01-04,31.78082,11.23287,4.9315,23.83561
4,2023-01-05,30.9589,10.13698,3.28767,20.27397
5,2023-01-06,32.87671,9.86301,3.01369,21.64383
6,2023-01-07,25.75342,9.31506,2.46575,14.24657
7,2023-01-08,22.73972,5.75342,3.83561,23.01369
8,2023-01-09,35.06849,12.32876,2.19178,18.63013
9,2023-01-10,36.71232,9.86301,6.02739,17.53424
10,2023-01-11,30.41095,12.05479,6.57534,22.46575
11,2023-01-12,24.38356,15.06849,2.46575,21.36986
12,2023-01-13,35.34246,12.32876,2.73972,17.53424
13,2023-01-14,24.9315,8.21917,2.46575,16.9863
14,2023-01-15,24.10958,8.49315,1.9178,14.79452
15,2023-01-16,29.86301,9.31506,3.28767,21.09589
16,2023-01-17,35.89041,9.86301,3.28767,23.83561
17,2023-01-18,38.08219,9.86301,4.10958,19.72602
18,2023-01-19,28.21917,9.04109,3.28767,16.43835
19,2023-01-20,25.47945,5.75342,2.46575,16.71232
20,2023-01-21,20.54794,7.67123,2.19178,14.24657
21,2023-01-22,22.73972,9.31506,2.46575,11.78082
22,2023-01-23,20.27397,8.21917,1.64383,14.24657
23,2023-01-24,20.82191,6.02739,1.64383,15.89041
24,2023-01-25,34.52054,13.9726,1.09589,18.9041
25,2023-01-26,25.47945,12.60273,1.36986,20.82191
26,2023-01-27,25.20547,11.50684,1.64383,17.80821
27,2023-01-28,20.54794,9.58904,1.64383,15.89041
28,2023-01-29,25.47945,10.41095,1.64383,20.82191
29,2023-01-30,30.9589,14.24657,4.10958,17.80821
30,2023-01-31,32.32876,12.05479,2.19178,24.38356
31,2023-02-01,26.84931,6.84931,4.38356,20.27397
32,2023-02-02,33.15068,8.76712,3.56164,15.06849
33,2023-02-03,27.12328,11.50684,2.19178,22.46575
34,2023-02-04,23.83561,10.41095,2.46575,12.05479
35,2023-02-05,24.65753,7.39726,1.36986,14.52054
36,2023-02-06,42.19178,9.31506,1.64383,22.19178
37,2023-02-07,36.9863,14.52054,2.19178,42.46575
38,2023-02-08,32.60273,9.31506,2.46575,41.09589
39,2023-02-09,34.52054,8.49315,3.56164,25.75342
40,2023-02-10,34.52054,8.76712,2.19178,40.27397
41,2023-02-11,22.73972,11.23287,1.36986,23.01369
42,2023-02-12,21.64383,6.02739,4.38356,12.87671
43,2023-02-13,37.26027,8.76712,3.01369,25.75342
44,2023-02-14,46.57534,12.87671,2.19178,23.83561
45,2023-02-15,43.83561,9.86301,2.19178,21.64383
46,2023-02-16,36.9863,9.31506,3.56164,23.01369
47,2023-02-17,28.21917,7.39726,3.01369,18.9041
48,2023-02-18,30.9589,5.20547,4.38356,13.42465
49,2023-02-19,26.57534,9.31506,3.28767,13.69863
50,2023-02-20,39.17808,9.04109,3.28767,24.38356
51,2023-02-21,39.17808,8.76712,3.56164,23.56164
52,2023-02-22,43.56164,12.60273,3.56164,22.19178
53,2023-02-23,48.21917,13.69863,4.65753,21.64383
54,2023-02-24,37.80821,10.9589,4.10958,25.75342
55,2023-02-25,27.9452,10.68493,2.46575,16.16438
56,2023-02-26,27.67123,10.13698,2.46575,18.08219
57,2023-02-27,37.80821,11.23287,1.64383,21.64383
58,2023-02-28,41.64383,9.31506,2.73972,17.53424
59,2023-03-01,33.15068,6.02739,6.57534,18.63013
60,2023-03-02,86.02739,16.9863,5.47945,32.87671
61,2023-03-03,70.68493,14.24657,4.9315,26.57534
62,2023-03-04,40.0,10.68493,2.19178,16.71232
63,2023-03-05,32.87671,8.76712,3.28767,20.0
64,2023-03-06,100.0,19.72602,3.83561,38.35616
65,2023-03-07,98.63013,21.9178,5.75342,44.38356
66,2023-03-08,89.86301,13.42465,4.9315,34.52054
67,2023-03-09,64.9315,16.16438,4.9315,24.10958
68,2023-03-10,53.15068,14.79452,3.28767,25.20547
69,2023-03-11,34.52054,10.9589,1.36986,19.72602
70,2023-03-12,32.32876,13.15068,3.01369,20.27397
71,2023-03-13,56.9863,10.68493,4.65753,30.68493
72,2023-03-14,78.08219,11.50684,4.10958,32.60273
73,2023-03-15,67.67123,15.34246,5.47945,32.87671
74,2023-03-16,67.67123,12.32876,4.10958,29.31506
75,2023-03-17,53.42465,10.9589,4.10958,18.63013
76,2023-03-18,29.04109,10.68493,3.01369,20.27397
77,2023-03-19,32.32876,10.9589,3.83561,27.67123
78,2023-03-20,63.01369,12.32876,3.28767,28.49315
79,2023-03-21,62.19178,11.50684,3.83561,25.75342
80,2023-03-22,66.30136,9.31506,4.10958,29.86301
81,2023-03-23,44.10958,11.50684,6.84931,24.10958
82,2023-03-24,41.36986,12.05479,3.01369,16.9863
83,2023-03-25,30.41095,8.49315,2.73972,17.80821
